tweet_id,tweet_username,tweet_text,id
1021795192129642497,_jose_luis_,"""Mulheres trabalhadoras de todo país se encontram na Vigília Lula Livre, em Curitiba  """,
1021795204842569728,Brasil_News_NOW,"""Mulheres trabalhadoras de todo país se encontram na Vigília Lula Livre, em Curitiba  """,
1021795209917747200,Vigaristta1,"""@galvanimtb Caralho olha o nipe do cara que digita isso, o cara ta com Lula no nickname e chamando os outros de alucinado... pqp""",
1021795215420612608,BR_latest_news,"""Mulheres trabalhadoras de todo país se encontram na Vigília Lula Livre, em Curitiba  """,
1021795218113351680,jctm1,"""@tortoise1984 @freire_roberto mas não se ganha eleição apenas sendo o mais preparado., dilma e lula estão ai pra corroborar com as minhas palavras., "" a mulher de césar...""""",
1021795222882152448,VaiTimaooooooo,"""@Gabriel_Groma @desisquerda @teiiisss @hbredda mas ngm citou o Bolsonaro, estão questionando o Alckimin e seus métodos.""",
1021795223138131973,zecolmeiazuero,"""@pauloap Excluíram o grupo ""GACB-Grupo de Apoio a candidatura de Bolsonaro"" do  Facebook. Eu fazia parte desse grupo desde 2014. Era um dos maiores  grupos fechados do facebook, com mais de 300K membros. """,
1021795227089166337,_Jose_Peres_,"""Mulheres trabalhadoras de todo país se encontram na Vigília Lula Livre, em Curitiba  """,
1021795230188818432,Radamanto,"""""Não entendo como tem pobre, preto, mulher e homossexual que vota em Bolsonaro."", , Eu entendo. Em 1888 teve negro que foi contra a abolição da escravidão pois tinha medo de perder o trabalho de capitão do mato.""",
1021795249805565952,LeoDiniz12,"""@puurehemp Tu não gosta do Bolsonaro pq tu é viado PH e sabe que pra viado não tem vez , vai morreeer em kkkkkkk""",
1021795262531084288,EmReacao,"""@JanainaDoBrasil Se essa chapa vencer, o Brasil terá a maior máquina de guerra do mundo moderno. É sÓ trocar a bandeira da Janaína pela metralhadora do Bolsonaro. 2 giradas e tá todo mundo morto.""",
1021795267144818688,luizinho_ny,"""🗣A verdadeira história de Lula nas pesquisas para presidente...👍🏾 """,
1021795276774928385,LeoEu_,"""Bolsonaro vai ganhar as eleições namoralzao mrm? Ja vou procurar uma caravana para ir morar no Chile""",
1021795280612675586,Lulainjail2018,"""@ElvisRo04398534 @LourenzoAL @LulaOficial @RedeGlobo Graças ao Lula tive que ir embora do país , , Lula in JAIL FOREBIS , 😂😂😂😂😂😂""",
1021795281246081025,DutraAriela,""" #centrão #Alckmin #Temer #eleições2018 #presidência #candidaturas""",
1021795289735340032,LucasAzevedo92,"""ver brasileiro dizendo que Bolsonaro é o menos pior que se não for ele Brasil vai ficar igual Venezuela... não tem outro para votar. Porra...""",
1021795301768798209,gabs_1903,"""@LulaOficial @eusigo12 LULA LIVRE""",
1021795323709218816,_NathanSantos,"""@edusouzabnu Essas enquetes sempre forçadas, colocam as piores opções com Bolsonaro só pra dizer: olha aí, eu falei!!""",
1021795330231336960,AsaZihlangu,"""Akukho lula guys.""",
1021795362946928640,carlagastal,"""Chico Buarque e Gilberto Gil confirmam presença no Festival Lula Livre  vía @brasil247""",
1021795377530449920,Marcelo18640892,"""@LourenzoAL Já passou, agr pode apagar e dizer que foi erro técnico e que os ""bots"" chegaram kkkkk eu dei 5 min pro Bolsonaro passar e não é que passou ?! Kkkkkk""",
1021795383247351808,Ellen6967,"""O ""lado bom"" se o Bolsonaro for presidente do Brasil é q eu vou poder ter uma arma pra fzr o bem, Já imaginou q Maravilha #BolsonaroPresidente""",
1021795384321089537,RubruNegru,"""@camarada_d Ok, posso reconhecer na Marina o camaleão neoliberal. Mas vivo num país governado pelos herdeiros do Franco. E aqui teriam vergonha de dizer o que o Bolsonaro diz todo dia. Um facista não tem as dúvidas e vacilações da Marina. O facista é só certezas.""",
1021795382853021697,notiunionmich,"""Sedena y SSP detienen a ligados con célula criminal en Apatzingán. -  """,
1021795385789034496,Helio__Chaves,"""Estão vivendo o time da ampulheta... """,
1021795395993837568,lucassilvalms,"""@veramagalhaes @AndreiaSadi @brdezoito Quero ver você dizer Vera que Alckmin está isolado como falam do Bolsonaro""",
1021795397788942336,alexlimareal,"""Não é realmente uma surpresa, mas é bom que todos saibam. O objetivo de Ciro não é governar o Brasil, e restabelecer o controle da extrema-esquerda no país., """,
1021795400339128320,caupira,"""@gleisi @LulaOficial Eu confio no LULA  e na GLEISI, sempre estarei do lado do certo, O Lula sempre vai ter meu voto e da minha familia!""",
1021795419289018373,Pr0t0Creed,"""@HUMBERTTOAQUINO @GDimenstein Vc está errado, e alguns indícios q posso usar pra sustentar são:, Lula falando q queria tornar todo cidadão socialista sem saber, J. Wilys citando Gramsci (revisor do modo operante marxista), E recentemente E. Bolsonaro expondo Marx e ao fim da fala o congresso grita ""viva marx""""",
1021795421923016704,xandevagner,"""@exame Lula ?? Candidato...preso  ??!!!""",
